3 Algae 2,3 Rotifers 2,3 Dead 2,16 Algae 2,16 Rotifers 2,16 Dead 2,35 Algae 2,35 Rotifers 2,35 Dead 2,45 Algae 2,45 Rotifers 2,45 Dead 2
96550,0.75,6.625,225350,0.181818182,2.545454545,83165,0.545454545,6.060606061,85980,4.125,1.125
156650,0.5,3.416666667,211700,0.095238095,1.904761905,83040,0.909090909,5.409090909,86750,3.583333333,1.291666667
349500,1,5.583333333,151750,0.380952381,1.904761905,112150,0.636363636,4.909090909,83830,3.217391304,2.347826087
623700,1.090909091,4.318181818,109500,0.697674419,1.76744186,147750,0.695652174,4.47826087,127200,1.708333333,1.333333333
1150500,0.974358974,3.076923077,210900,0.41025641,1.692307692,390100,1.25,2.5,272600,1.829787234,1.446808511
1433000,2.263157895,3.157894737,127050,0.1875,0.6875,398550,1.4375,2.125,179000,1.555555556,1.5
1.38E+06,3.3125,6,1.02E+05,0.0625,1.1875,5.69E+05,2.9375,2.625,1.60E+05,2.6875,1.375
1174000,4.111111111,3.5,91600,0.166666667,0.722222222,490050,3.862068966,2.137931034,182700,3.142857143,1.142857143
791150,4.352941176,5.294117647,114600,0.176470588,0.823529412,208500,8.6875,1.625,140650,4.764705882,0.705882353
277250,8.894736842,6.526315789,92835,0.631578947,0.684210526,96850,10.66666667,3.155555556,116850,5.446808511,0.680851064
122000,6.8,5.657142857,102275,0.647058824,1,80790,6.96969697,3.03030303,118600,5.0625,0.75
1.02E+05,4.75,7.4375,1.22E+05,0.294117647,0.588235294,6.91E+04,3.419354839,4.64516129,1.19E+05,5.161290323,0.709677419
3.15E+04,2.571428571,6,2.91E+04,0.588235294,1,2.81E+04,1.823529412,5.529411765,1.20E+05,3.235294118,0.235294118
113200,1.422222222,8.755555556,134550,1.853658537,1.024390244,109350,1.125,6.333333333,431900,5.12,0.8
117750,1.0625,8.25,91460,2.125,0.8125,106435,0.875,4.0625,316030,4.5625,0.75
186900,1.170731707,8.926829268,86920,2.181818182,1.03030303,138800,0.45,4.15,201250,6.714285714,1.666666667
329000,1.526315789,6.789473684,88580,1.952380952,1.19047619,183200,0.975609756,4.390243902,211400,8.1,0.65
549400,1.45,7.8,99485,1.052631579,1,304600,2.1,5.3,194100,7.428571429,0.666666667
888950,2.666666667,6.888888889,149400,1.636363636,0.727272727,394450,3.85,3.95,128400,7.571428571,0.428571429
859700,4.352941176,5.941176471,555100,2.787878788,1.333333333,272800,5.941176471,3.117647059,108650,6.117647059,0.647058824
400400,5.5625,5.6875,89185,2.266666667,1.066666667,186450,7.485714286,2.4,125540,7.771428571,1.314285714
133500,11.05555556,4.277777778,75400,1.885714286,1.028571429,62665,7.828571429,2.8,645200,5.055555556,0.5
97665,9.25,7,87600,1.3125,1,65670,5.1875,3.0625,310150,5.25,0.3125
150150,5.422222222,10.71111111,114550,1.627906977,2.093023256,92415,4.081632653,4.163265306,270400,6.510638298,0.680851064
101265,2.6875,9.8125,107200,1.515151515,2,101335,1.5,5.8125,130650,6.882352941,0.352941176
663700,3.658536585,7.853658537,694200,2.162162162,1.675675676,616800,2.578947368,4.842105263,811900,8.85,1.5
632700,2.954545455,8.318181818,610050,2.8,1.9,570500,2.318181818,4.590909091,709250,7.875,1.291666667
387900,2.742857143,7.314285714,306750,4.23255814,1.720930233,343800,2.090909091,3.272727273,673100,6.604651163,0.511627907
263750,6.243902439,8.682926829,149150,3.8,1.75,193900,1.95,4.1,231450,7.9,1.1
288100,7.6,5.657142857,163850,2.424242424,2.303030303,242250,2.8,3.028571429,897400,9.846153846,0.307692308
169650,9.6,6.95,65040,2.216216216,2.702702703,100785,3.45,3.6,184700,10.2,0.85
240550,11,4.117647059,115750,1.696969697,2.606060606,91500,2.848484848,2.484848485,436400,11.51515152,0.787878788
229300,9.787234043,5.787234043,122200,1.217391304,2.652173913,92000,3.804878049,2.975609756,327350,12.85,0.95
296250,6.108108108,5.297297297,132500,1.380952381,2.761904762,138360,4.210526316,2.789473684,383050,15.69230769,1.333333333
180950,6.578947368,5.842105263,101360,2.789473684,1.736842105,52455,4.954545455,3.318181818,139300,16.41860465,1.953488372
253700,6.5,4.625,101460,3.52173913,1.260869565,75710,3.733333333,2.177777778,165700,16.08333333,1.166666667
256800,5.19047619,4.238095238,113800,2.739130435,1.739130435,125350,2.45,1.4,199000,12.5,2
253700,6.4,4.7,107485,2.25,1.85,108300,2.5,1.95,143950,14.5,2.1
258250,6.722222222,2.555555556,128500,1.771428571,0.8,126300,0.971428571,1.085714286,471450,9.878787879,0.909090909
249300,9.833333333,3.625,129050,1.863636364,1.909090909,121600,3.125,1.458333333,230250,11.71428571,1.87755102
241500,8.177777778,3.511111111,130700,1.772727273,2.681818182,126350,3.791666667,1.125,173925,13.04166667,1.875
244150,7.166666667,5.166666667,111900,3.434782609,1.47826087,124700,4.090909091,1.227272727,119450,12.54166667,1.708333333
