Smu Algae.3, Smu Rotifers.3,Smu Algae.16,Smu Rotifers.16,Smu Algae.35,Smu Rotifers.35,Smu Algae.45,Smu Rotifers.45
22793.21236,1.601543581,40673.1282,0.329129293,33104.78556,0.792616466,48965.13171,0.117125706
26828.71908,0.918465549,56977.1255,0.231166848,56670.10965,0.561062799,65684.34643,0.169897171
38305.15465,0.52339513,62771.9598,0.174364941,82325.96102,0.412559185,86071.37433,0.212283916
78536.44974,0.444546274,55542.02493,0.185066967,105746.0164,0.360023183,114995.82,0.253869967
170429.5264,0.693211798,39877.25084,0.343669001,145200.3201,0.397838546,151973.5914,0.355814879
320817.5637,1.271072277,24944.25487,0.646545119,209602.6009,0.743335174,209150.0731,0.52103858
502066.6813,2.398659585,15049.9705,0.991889779,272213.0463,1.572894649,319672.1385,0.733053725
642274.8634,4.109003871,14769.33231,1.028443225,289175.3458,2.800753331,465863.0812,0.84255447
560829.5637,6.487622283,22170.76523,0.760153929,222085.0446,4.619227607,580153.1285,0.780292995
301980.5128,8.705628209,34272.16323,0.466531948,120266.8486,6.316923176,685920.8886,0.717570436
87744.7445,9.412891107,44086.46948,0.238410092,41315.10034,6.653808905,774242.4175,0.788577357
-1464.437166,8.469050596,48135.92844,0.156133939,5349.584789,5.623390324,917674.4108,1.033215796
-13115.6926,6.170895583,52018.03642,0.168342887,-391.316332,3.70001777,1090875.538,1.319884881
-115.901509,3.725722328,64079.33462,0.159972823,7296.483548,1.874962303,1158317.294,1.535849894
15620.05662,2.064962,83384.50976,0.298037602,20829.90846,0.802367047,1185388.561,1.519538227
34471.01322,1.245003137,94915.6856,0.750524512,40422.73835,0.314282509,1189813.353,1.301296223
67461.06236,1.038646513,91282.01525,1.494900673,80865.91963,0.13394803,1243053.575,1.16411146
131185.0654,1.191662168,63422.55985,2.549640631,170302.9935,0.141366196,1277214.847,1.242502178
231545.3866,1.584542855,27180.82551,3.287302087,352355.8933,0.359534643,1318978.869,1.404084075
363607.7032,2.03026355,5946.263615,2.933365042,654433.38,0.682394126,1432807.411,1.576681378
529015.5438,2.536535199,7609.176158,1.961887079,1019951.153,0.981702675,1553854.921,1.766706402
723686.724,3.228268737,39660.13673,1.106758016,1262960.143,1.226245449,1557785.266,1.932676263
902590.2159,3.600481882,114970.8858,0.603519989,1323127.697,1.523607463,1467831.516,1.969060682
992107.2501,3.446207006,230168.3321,0.456480648,1236888.416,1.917108825,1349648.071,1.944531876
1019273.358,3.179634307,325278.4167,0.913249561,1101256.877,2.351339294,1122283.403,2.001811255
1038098.606,3.210100869,294570.1454,2.31231306,927692.075,3.116271749,966831.7039,2.266850367
1058083.304,3.471853421,155833.2575,4.561849928,661416.1825,4.75200776,879983.5093,2.85865669
1054682.204,3.559012242,46743.50893,6.266939335,385563.4095,7.073575293,830447.574,3.602941524
1007486.335,3.530606985,4152.016456,5.596631615,161548.6526,9.350258897,811879.956,4.123341173
914142.803,3.647056904,-706.2312359,3.343916015,32701.16089,9.935701183,767008.368,4.385823808
782100.2717,4.1979137,6810.188145,1.396212505,-8118.540826,8.562433452,672035.4019,4.590275136
612350.981,5.090517441,18125.93874,0.342926331,-5793.139799,6.732244365,503413.0403,4.973252574
469655.4885,6.02918598,34305.24075,-0.005807408,8032.566378,4.690348692,333278.5901,5.594459245
348219.0883,6.885813936,49294.28298,-0.056607011,23597.16412,3.144028472,193279.8192,6.558317644
205934.014,7.701713546,52790.66032,0.019084291,43372.209,2.219880837,96136.78138,7.576119164
45169.08507,7.627521495,47769.44062,0.19215946,65229.06811,1.969440575,30212.41951,7.741283079
22793.21236,6.157615924,40673.1282,0.444604077,33104.78556,2.347725152,48965.13171,7.460280455
26828.71908,4.032164659,56977.1255,0.659045104,56670.10965,3.13003415,65684.34643,6.984611214
